ALARM ID,0,,,,,
DATE,2023/4/27,12:13:16,,,,
,,,,,,
No,DATE,TIME,COUNT,STATUS,ALARM No,MESSAGE
126,2023/3/30,13:18:51,899,ON,34,ワーク無し異常
127,2023/3/30,11:11:41,898,ON,34,ワーク無し異常
128,2023/3/30,10:24:27,897,ON,34,ワーク無し異常
129,2023/3/3,9:15:03,434,ON,4,首下位置不良
130,2023/3/3,9:14:39,948,ON,2,横穴未貫通異常
131,2023/3/3,10:22:44,850,ON,34,ワーク無し異常
132,2023/3/29,9:12:07,440,ON,4,首下位置不良
133,2023/3/29,18:40:22,896,ON,34,ワーク無し異常
134,2023/3/29,17:50:17,895,ON,34,ワーク無し異常
135,2023/3/29,16:43:00,894,ON,34,ワーク無し異常
136,2023/3/29,15:34:14,243,ON,0,安全クラッチ異常
137,2023/3/29,13:55:42,893,ON,34,ワーク無し異常
138,2023/3/29,11:43:53,957,ON,2,横穴未貫通異常
139,2023/3/29,11:42:57,956,ON,2,横穴未貫通異常
140,2023/3/28,18:24:58,892,ON,34,ワーク無し異常
141,2023/3/28,13:37:42,891,ON,34,ワーク無し異常
142,2023/3/23,9:49:28,178,ON,3,ノッチ前進不良
143,2023/3/23,9:49:27,889,ON,34,ワーク無し異常
144,2023/3/23,9:41:10,242,ON,0,安全クラッチ異常
145,2023/3/23,9:33:52,241,ON,0,安全クラッチ異常
146,2023/3/23,12:56:47,890,ON,34,ワーク無し異常
147,2023/3/22,9:03:41,439,ON,4,首下位置不良
148,2023/3/22,9:03:14,955,ON,2,横穴未貫通異常
149,2023/3/22,19:22:41,888,ON,34,ワーク無し異常
150,2023/3/22,15:17:03,887,ON,34,ワーク無し異常
151,2023/3/22,11:42:51,886,ON,34,ワーク無し異常
152,2023/3/22,10:35:20,885,ON,34,ワーク無し異常
153,2023/3/21,9:11:35,438,ON,4,首下位置不良
154,2023/3/21,9:11:18,953,ON,2,横穴未貫通異常
155,2023/3/21,18:47:37,177,ON,3,ノッチ前進不良
156,2023/3/21,18:47:36,884,ON,34,ワーク無し異常
157,2023/3/21,16:34:14,883,ON,34,ワーク無し異常
158,2023/3/21,14:32:12,882,ON,34,ワーク無し異常
159,2023/3/21,14:27:08,881,ON,34,ワーク無し異常
160,2023/3/21,13:31:37,954,ON,2,横穴未貫通異常
161,2023/3/20,9:20:07,12,ON,53,首下位置ｾﾝｻｰ異常
162,2023/3/20,9:15:50,877,ON,34,ワーク無し異常
163,2023/3/20,9:06:04,175,ON,3,ノッチ前進不良
164,2023/3/20,17:31:40,176,ON,3,ノッチ前進不良
165,2023/3/20,17:31:39,880,ON,34,ワーク無し異常
166,2023/3/20,16:33:00,952,ON,2,横穴未貫通異常
167,2023/3/20,16:16:47,879,ON,34,ワーク無し異常
168,2023/3/20,10:26:58,878,ON,34,ワーク無し異常
169,2023/3/18,9:58:10,951,ON,2,横穴未貫通異常
170,2023/3/18,9:34:23,875,ON,34,ワーク無し異常
171,2023/3/18,9:26:07,240,ON,0,安全クラッチ異常
172,2023/3/18,13:58:33,876,ON,34,ワーク無し異常
173,2023/3/17,9:21:27,239,ON,0,安全クラッチ異常
174,2023/3/17,9:16:53,25,ON,54,ｶｳﾝﾄ用ｾﾝｻｰ異常
175,2023/3/17,9:12:07,238,ON,0,安全クラッチ異常
176,2023/3/17,19:39:39,36,ON,48,排出残留ﾜｰｸ検知異常
177,2023/3/17,19:09:05,874,ON,34,ワーク無し異常
178,2023/3/17,18:02:06,174,ON,3,ノッチ前進不良
179,2023/3/17,16:44:51,873,ON,34,ワーク無し異常
180,2023/3/17,15:18:44,173,ON,3,ノッチ前進不良
181,2023/3/17,15:18:43,872,ON,34,ワーク無し異常
182,2023/3/17,11:20:31,871,ON,34,ワーク無し異常
183,2023/3/17,10:17:52,870,ON,34,ワーク無し異常
184,2023/3/16,19:29:01,172,ON,3,ノッチ前進不良
185,2023/3/16,16:45:26,437,ON,4,首下位置不良
186,2023/3/16,16:01:21,869,ON,34,ワーク無し異常
187,2023/3/16,12:08:41,868,ON,34,ワーク無し異常
188,2023/3/15,16:48:27,867,ON,34,ワーク無し異常
189,2023/3/14,19:57:03,866,ON,34,ワーク無し異常
190,2023/3/14,16:55:43,865,ON,34,ワーク無し異常
191,2023/3/14,15:20:16,864,ON,34,ワーク無し異常
192,2023/3/14,14:11:18,863,ON,34,ワーク無し異常
193,2023/3/14,13:22:05,862,ON,34,ワーク無し異常
194,2023/3/14,12:34:30,436,ON,4,首下位置不良
195,2023/3/14,12:34:06,950,ON,2,横穴未貫通異常
196,2023/3/10,11:51:08,861,ON,34,ワーク無し異常
197,2023/3/10,10:51:48,860,ON,34,ワーク無し異常
198,2023/3/1,9:38:12,945,ON,2,横穴未貫通異常
199,2023/3/1,17:15:10,169,ON,3,ノッチ前進不良
200,2023/3/1,16:08:07,947,ON,2,横穴未貫通異常
201,2023/3/1,15:22:34,849,ON,34,ワーク無し異常
202,2023/3/1,14:35:33,946,ON,2,横穴未貫通異常
203,2023/3/1,13:32:47,848,ON,34,ワーク無し異常
204,2023/3/1,12:44:25,847,ON,34,ワーク無し異常
205,2023/2/9,17:26:43,940,ON,2,横穴未貫通異常
206,2023/2/9,16:09:15,839,ON,34,ワーク無し異常
