ALARM ID,0
DATE,2023/01/04,12:48:37,

No,DATE,TIME,COUNT,STATUS,ALARM No,MESSAGE
160,2022/11/23,15:49:15,575,ON,6,ツール回転(軸1)サーボ異常
161,2022/11/23,15:49:15,552,ON,2,インデックス定位置異常
162,2022/11/23,15:37:23,574,ON,7,ツール送り(軸2)サーボ異常
163,2022/11/23,15:37:23,574,ON,6,ツール回転(軸1)サーボ異常
164,2022/11/23,15:37:23,551,ON,2,インデックス定位置異常
165,2022/11/23,15:08:50,573,ON,7,ツール送り(軸2)サーボ異常
166,2022/11/23,15:08:50,573,ON,6,ツール回転(軸1)サーボ異常
167,2022/11/23,15:08:50,550,ON,2,インデックス定位置異常
168,2022/11/22,18:31:10,593,ON,12,ワーク無し異常
169,2022/11/16,17:43:48,572,ON,7,ツール送り(軸2)サーボ異常
170,2022/11/16,17:43:48,572,ON,6,ツール回転(軸1)サーボ異常
171,2022/11/16,17:43:48,549,ON,2,インデックス定位置異常
172,2022/11/16,14:39:38,592,ON,12,ワーク無し異常
173,2022/11/16,09:28:30,591,ON,12,ワーク無し異常
174,2022/11/15,19:02:00,590,ON,12,ワーク無し異常
175,2022/11/15,18:51:44,589,ON,12,ワーク無し異常
176,2022/11/15,17:23:45,588,ON,12,ワーク無し異常
177,2022/11/15,17:20:28,587,ON,12,ワーク無し異常
178,2022/11/15,16:16:45,586,ON,12,ワーク無し異常
179,2022/11/15,14:23:37,585,ON,12,ワーク無し異常
180,2022/11/15,12:00:29,571,ON,7,ツール送り(軸2)サーボ異常
181,2022/11/15,12:00:29,571,ON,6,ツール回転(軸1)サーボ異常
182,2022/11/15,12:00:29,548,ON,2,インデックス定位置異常
183,2022/11/14,17:19:14,584,ON,12,ワーク無し異常
184,2022/11/14,15:30:21,583,ON,12,ワーク無し異常
185,2022/11/11,09:15:24,582,ON,12,ワーク無し異常
186,2022/11/10,19:04:43,570,ON,7,ツール送り(軸2)サーボ異常
187,2022/11/10,19:04:43,570,ON,6,ツール回転(軸1)サーボ異常
188,2022/11/10,19:04:43,547,ON,2,インデックス定位置異常
189,2022/11/09,18:02:09,581,ON,12,ワーク無し異常
190,2022/11/08,10:28:13,580,ON,12,ワーク無し異常
191,2022/11/07,14:47:41,579,ON,12,ワーク無し異常
192,2022/11/03,17:53:03,578,ON,12,ワーク無し異常
193,2022/11/03,15:48:05,577,ON,12,ワーク無し異常
194,2022/11/03,14:48:30,576,ON,12,ワーク無し異常
195,2022/11/03,12:36:03,575,ON,12,ワーク無し異常
196,2022/11/03,10:02:31,574,ON,12,ワーク無し異常
197,2022/11/02,17:06:14,573,ON,12,ワーク無し異常
198,2022/11/02,15:34:38,572,ON,12,ワーク無し異常
199,2022/11/02,14:55:58,571,ON,12,ワーク無し異常
200,2022/11/02,11:53:49,570,ON,12,ワーク無し異常
201,2022/11/02,10:43:05,569,ON,12,ワーク無し異常
202,2022/11/02,10:41:01,568,ON,12,ワーク無し異常
203,2022/11/02,09:57:52,569,ON,7,ツール送り(軸2)サーボ異常
204,2022/11/02,09:57:52,569,ON,6,ツール回転(軸1)サーボ異常
205,2022/11/02,09:57:52,546,ON,2,インデックス定位置異常
206,2022/11/01,19:22:35,567,ON,12,ワーク無し異常
207,2022/11/01,11:27:06,566,ON,12,ワーク無し異常
208,2022/11/01,11:11:33,565,ON,12,ワーク無し異常
209,2022/10/31,17:11:09,564,ON,12,ワーク無し異常
210,2022/10/31,16:24:48,563,ON,12,ワーク無し異常
211,2022/10/31,14:44:39,562,ON,12,ワーク無し異常
212,2022/10/31,10:57:45,561,ON,12,ワーク無し異常
213,2022/10/29,09:55:40,560,ON,12,ワーク無し異常
214,2022/10/26,12:30:51,568,ON,7,ツール送り(軸2)サーボ異常
215,2022/10/26,12:30:51,568,ON,6,ツール回転(軸1)サーボ異常
216,2022/10/26,12:30:51,545,ON,2,インデックス定位置異常
217,2022/10/26,10:30:36,567,ON,7,ツール送り(軸2)サーボ異常
218,2022/10/26,10:30:36,567,ON,6,ツール回転(軸1)サーボ異常
219,2022/10/26,10:30:36,544,ON,2,インデックス定位置異常
220,2022/10/26,10:28:28,566,ON,7,ツール送り(軸2)サーボ異常
221,2022/10/26,10:28:28,566,ON,6,ツール回転(軸1)サーボ異常
222,2022/10/26,10:28:28,543,ON,2,インデックス定位置異常
223,2022/10/21,09:13:16,559,ON,12,ワーク無し異常
224,2022/10/20,18:33:09,558,ON,12,ワーク無し異常
225,2022/10/20,12:15:09,565,ON,7,ツール送り(軸2)サーボ異常
226,2022/10/20,12:15:09,565,ON,6,ツール回転(軸1)サーボ異常
227,2022/10/20,12:15:09,542,ON,2,インデックス定位置異常
228,2022/10/19,16:53:33,557,ON,12,ワーク無し異常
229,2022/10/19,14:35:43,564,ON,7,ツール送り(軸2)サーボ異常
230,2022/10/19,14:35:43,564,ON,6,ツール回転(軸1)サーボ異常
231,2022/10/19,14:35:43,541,ON,2,インデックス定位置異常
232,2022/10/19,11:35:10,556,ON,12,ワーク無し異常
233,2022/10/19,10:36:54,555,ON,12,ワーク無し異常
234,2022/10/18,15:29:28,563,ON,7,ツール送り(軸2)サーボ異常
235,2022/10/18,15:29:28,563,ON,6,ツール回転(軸1)サーボ異常
236,2022/10/18,15:29:28,540,ON,2,インデックス定位置異常
237,2022/10/18,15:07:15,554,ON,12,ワーク無し異常
238,2022/10/14,17:43:09,562,ON,7,ツール送り(軸2)サーボ異常
239,2022/10/14,17:43:09,562,ON,6,ツール回転(軸1)サーボ異常
240,2022/10/14,17:43:09,539,ON,2,インデックス定位置異常
241,2022/10/14,11:11:23,553,ON,12,ワーク無し異常
242,2022/10/14,09:34:13,561,ON,7,ツール送り(軸2)サーボ異常
243,2022/10/14,09:34:13,561,ON,6,ツール回転(軸1)サーボ異常
244,2022/10/14,09:34:13,538,ON,2,インデックス定位置異常
245,2022/10/13,18:53:59,560,ON,7,ツール送り(軸2)サーボ異常
246,2022/10/13,18:53:59,560,ON,6,ツール回転(軸1)サーボ異常
247,2022/10/13,18:53:59,537,ON,2,インデックス定位置異常
248,2022/10/13,16:15:14,559,ON,7,ツール送り(軸2)サーボ異常
249,2022/10/13,16:15:14,559,ON,6,ツール回転(軸1)サーボ異常
250,2022/10/13,16:15:14,536,ON,2,インデックス定位置異常
251,2022/10/13,11:14:16,552,ON,12,ワーク無し異常
252,2022/10/12,16:30:18,551,ON,12,ワーク無し異常
253,2022/10/12,15:43:54,558,ON,7,ツール送り(軸2)サーボ異常
254,2022/10/12,15:43:54,558,ON,6,ツール回転(軸1)サーボ異常
255,2022/10/12,15:43:54,535,ON,2,インデックス定位置異常
256,2022/10/12,12:51:53,550,ON,12,ワーク無し異常
257,2022/10/11,11:24:29,549,ON,12,ワーク無し異常
258,2022/10/10,16:24:35,548,ON,12,ワーク無し異常
259,2022/10/10,12:53:39,557,ON,7,ツール送り(軸2)サーボ異常
260,2022/10/10,12:53:39,557,ON,6,ツール回転(軸1)サーボ異常
261,2022/10/10,12:53:39,534,ON,2,インデックス定位置異常
262,2022/10/08,12:12:08,556,ON,7,ツール送り(軸2)サーボ異常
263,2022/10/08,12:12:08,556,ON,6,ツール回転(軸1)サーボ異常
264,2022/10/08,12:12:08,533,ON,2,インデックス定位置異常
265,2022/10/08,11:54:43,555,ON,7,ツール送り(軸2)サーボ異常
266,2022/10/08,11:54:43,555,ON,6,ツール回転(軸1)サーボ異常
267,2022/10/08,11:54:43,532,ON,2,インデックス定位置異常
268,2022/10/08,11:18:48,547,ON,12,ワーク無し異常
269,2022/10/08,11:02:05,554,ON,7,ツール送り(軸2)サーボ異常
270,2022/10/08,11:02:05,554,ON,6,ツール回転(軸1)サーボ異常
271,2022/10/08,11:02:05,531,ON,2,インデックス定位置異常
272,2022/10/08,09:34:31,553,ON,7,ツール送り(軸2)サーボ異常
273,2022/10/08,09:34:31,553,ON,6,ツール回転(軸1)サーボ異常
274,2022/10/08,09:34:31,530,ON,2,インデックス定位置異常
275,2022/10/07,18:22:42,552,ON,7,ツール送り(軸2)サーボ異常
276,2022/10/07,18:22:42,552,ON,6,ツール回転(軸1)サーボ異常
277,2022/10/07,18:22:42,529,ON,2,インデックス定位置異常
